Year,Trt,Date.time,Temp_C
2021_22,field,9/1/21 0:00,15.9
2021_22,field,9/1/21 1:00,15.3
2021_22,field,9/1/21 2:00,14.8
2021_22,field,9/1/21 3:00,14.6
2021_22,field,9/1/21 4:00,14.6
2021_22,field,9/1/21 5:00,14.3
2021_22,field,9/1/21 6:00,14.5
2021_22,field,9/1/21 7:00,14.3
2021_22,field,9/1/21 8:00,15.6
2021_22,field,9/1/21 9:00,17.5
2021_22,field,9/1/21 10:00,19.1
2021_22,field,9/1/21 11:00,20.3
2021_22,field,9/1/21 12:00,21.7
2021_22,field,9/1/21 13:00,22.2
2021_22,field,9/1/21 14:00,22.5
2021_22,field,9/1/21 15:00,23.2
2021_22,field,9/1/21 16:00,23.7
2021_22,field,9/1/21 17:00,23.4
2021_22,field,9/1/21 18:00,22.7
2021_22,field,9/1/21 19:00,20.9
2021_22,field,9/1/21 20:00,18.9
2021_22,field,9/1/21 21:00,17.6
2021_22,field,9/1/21 22:00,16.8
2021_22,field,9/1/21 23:00,16.4
2021_22,field,9/2/21 0:00,16.9
2021_22,field,9/2/21 1:00,15.6
2021_22,field,9/2/21 2:00,13.2
2021_22,field,9/2/21 3:00,12.3
2021_22,field,9/2/21 4:00,12.2
2021_22,field,9/2/21 5:00,11.7
2021_22,field,9/2/21 6:00,11.2
2021_22,field,9/2/21 7:00,11.7
2021_22,field,9/2/21 8:00,14.9
2021_22,field,9/2/21 9:00,18.2
2021_22,field,9/2/21 10:00,19.8
2021_22,field,9/2/21 11:00,20.7
2021_22,field,9/2/21 12:00,21.7
2021_22,field,9/2/21 13:00,23.2
2021_22,field,9/2/21 14:00,24.4
2021_22,field,9/2/21 15:00,24
2021_22,field,9/2/21 16:00,23.7
2021_22,field,9/2/21 17:00,23.3
2021_22,field,9/2/21 18:00,22.8
2021_22,field,9/2/21 19:00,22.1
2021_22,field,9/2/21 20:00,21.4
2021_22,field,9/2/21 21:00,20.7
2021_22,field,9/2/21 22:00,19.7
2021_22,field,9/2/21 23:00,18.7
2021_22,field,9/3/21 0:00,18.2
2021_22,field,9/3/21 1:00,17.9
2021_22,field,9/3/21 2:00,16.2
2021_22,field,9/3/21 3:00,15.6
2021_22,field,9/3/21 4:00,16
2021_22,field,9/3/21 5:00,15.9
2021_22,field,9/3/21 6:00,16.2
2021_22,field,9/3/21 7:00,16.5
2021_22,field,9/3/21 8:00,16.6
2021_22,field,9/3/21 9:00,16.8
2021_22,field,9/3/21 10:00,17.9
2021_22,field,9/3/21 11:00,18.6
2021_22,field,9/3/21 12:00,19.3
2021_22,field,9/3/21 13:00,18.1
2021_22,field,9/3/21 14:00,17.4
2021_22,field,9/3/21 15:00,17.8
2021_22,field,9/3/21 16:00,17.7
2021_22,field,9/3/21 17:00,17.5
2021_22,field,9/3/21 18:00,17.4
2021_22,field,9/3/21 19:00,17.4
2021_22,field,9/3/21 20:00,17.4
2021_22,field,9/3/21 21:00,17.4
2021_22,field,9/3/21 22:00,17.4
2021_22,field,9/3/21 23:00,17.5
2021_22,field,9/4/21 0:00,17.7
2021_22,field,9/4/21 1:00,18
2021_22,field,9/4/21 2:00,17.8
2021_22,field,9/4/21 3:00,17.7
2021_22,field,9/4/21 4:00,17.7
2021_22,field,9/4/21 5:00,17.6
