Year,Collection,Start.date,Trt,ID,Cultivar,budbreak,DOY,budbreak_LPI,LPI,CH_start,portions,UT,NC
2021_22,AA,10/13/21,constant,1,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,2,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,3,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,4,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,5,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,6,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,7,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,8,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,9,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,10,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,11,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,12,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,13,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,14,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,15,BR,NA,286,121,121,-14.1,0,0,5
2021_22,AA,10/13/21,constant,1,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,2,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,3,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,4,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,5,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,6,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,7,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,8,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,9,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,10,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,11,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,12,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,13,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,14,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,15,FR,NA,286,121,121,-14.2,0,0,5
2021_22,AA,10/13/21,constant,1,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,2,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,3,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,4,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,5,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,6,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,7,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,8,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,9,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,10,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,11,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,12,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,13,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,14,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,15,LC,NA,286,121,121,-11.8,0,0,5
2021_22,AA,10/13/21,constant,1,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,2,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,3,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,4,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,5,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,6,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,7,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,8,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,9,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,10,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,11,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,12,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,13,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,14,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,15,MQ,NA,286,121,121,-13.9,0,0,5
2021_22,AA,10/13/21,constant,1,PP,52,286,52,NA,-15,0,0,5
2021_22,AA,10/13/21,constant,2,PP,54,286,54,NA,-15,0,0,5
2021_22,AA,10/13/21,constant,3,PP,56,286,56,NA,-15,0,0,5
2021_22,AA,10/13/21,constant,4,PP,60,286,60,NA,-15,0,0,5
2021_22,AA,10/13/21,constant,5,PP,67,286,67,NA,-15,0,0,5
2021_22,AA,10/13/21,constant,6,PP,95,286,95,NA,-15,0,0,5
