Year,Date,Cultivar,LTE_C
2021_22,2/15/22,FR,-35.2
2021_22,2/15/22,FR,-34.9
2021_22,2/15/22,FR,-34.2
2021_22,2/15/22,LC,-34.2
2021_22,2/15/22,FR,-33.9
2021_22,2/15/22,FR,-33.6
2021_22,2/15/22,LC,-33.6
2021_22,2/15/22,LC,-33.6
2021_22,2/15/22,LC,-33.4
2021_22,2/15/22,FR,-33.2
2021_22,2/15/22,FR,-33
2021_22,2/15/22,BR,-32.9
2021_22,2/15/22,FR,-32.8
2021_22,2/15/22,LC,-32.7
2021_22,2/15/22,FR,-32.4
2021_22,2/15/22,FR,-32.4
2021_22,2/15/22,LC,-32.4
2021_22,2/15/22,PP,-32.4
2021_22,2/15/22,LC,-32.2
2018_19,2/19/19,LC,-32.1
2021_22,2/15/22,BR,-32
2021_22,2/15/22,LC,-31.9
2021_22,2/15/22,MQ,-31.9
2021_22,2/15/22,LC,-31.8
2021_22,2/15/22,LC,-31.8
2021_22,2/15/22,LC,-31.8
2021_22,2/15/22,PP,-31.8
2021_22,2/15/22,PP,-31.8
2018_19,2/19/19,LC,-31.6
2021_22,2/15/22,FR,-31.6
2021_22,2/15/22,MQ,-31.6
2021_22,2/15/22,MQ,-31.6
2021_22,2/15/22,MQ,-31.6
2021_22,2/15/22,PP,-31.6
2021_22,2/15/22,MQ,-31.5
2021_22,2/15/22,PP,-31.5
2021_22,2/15/22,BR,-31.4
2021_22,1/19/22,BR,-31.4
2021_22,2/15/22,LC,-31.4
2021_22,2/15/22,LC,-31.4
2021_22,2/15/22,MQ,-31.4
2021_22,2/15/22,BR,-31.3
2021_22,2/15/22,MQ,-31.3
2018_19,2/19/19,FR,-31.2
2021_22,2/15/22,PP,-31.2
2021_22,2/15/22,PP,-31.2
2021_22,2/15/22,BR,-31.1
2021_22,2/15/22,MQ,-31.1
2021_22,2/15/22,PP,-31.1
2021_22,2/15/22,PP,-31.1
2021_22,2/15/22,MQ,-31
2021_22,2/15/22,MQ,-31
2018_19,2/19/19,BR,-30.9
2018_19,2/19/19,FR,-30.9
2021_22,2/15/22,BR,-30.9
2018_19,2/19/19,PP,-30.8
2021_22,12/22/21,BR,-30.8
2021_22,2/15/22,BR,-30.8
2021_22,2/15/22,FR,-30.8
2021_22,2/15/22,FR,-30.8
2018_19,2/19/19,LC,-30.7
2018_19,2/19/19,LC,-30.7
2018_19,2/19/19,FR,-30.6
2021_22,1/19/22,BR,-30.6
2021_22,2/15/22,FR,-30.6
2021_22,1/19/22,FR,-30.6
2021_22,12/22/21,MQ,-30.6
2021_22,2/15/22,PP,-30.6
2021_22,2/15/22,BR,-30.5
2021_22,2/15/22,BR,-30.5
2021_22,2/15/22,MQ,-30.5
2021_22,2/15/22,MQ,-30.5
2021_22,2/15/22,PP,-30.5
2018_19,2/19/19,LC,-30.4
2018_19,2/19/19,LC,-30.4
2021_22,2/15/22,FR,-30.4
2018_19,2/19/19,FR,-30.3
2018_19,2/19/19,LC,-30.3
2018_19,2/19/19,FR,-30.2
2018_19,2/19/19,LC,-30.2
2018_19,2/19/19,MQ,-30.2
2018_19,2/19/19,PP,-30.2
2018_19,2/19/19,PP,-30.2
2018_19,3/11/19,PP,-30.2
2021_22,2/15/22,PP,-30.2
2018_19,2/19/19,FR,-30.1
2018_19,2/19/19,LC,-30.1
2018_19,2/19/19,LC,-30.1
2021_22,1/19/22,FR,-30.1
2021_22,1/19/22,FR,-30.1
2021_22,12/22/21,LC,-30.1
2018_19,2/19/19,LC,-30
2021_22,2/15/22,BR,-30
2021_22,1/19/22,BR,-30
2018_19,2/19/19,LC,-29.9
2018_19,2/19/19,MQ,-29.9
2018_19,2/19/19,PP,-29.9
2021_22,12/22/21,BR,-29.9
2021_22,12/22/21,FR,-29.9
2021_22,12/22/21,LC,-29.9
2021_22,12/22/21,MQ,-29.9
2021_22,2/15/22,MQ,-29.9
2021_22,2/15/22,PP,-29.9
2021_22,1/19/22,PP,-29.9
2021_22,1/19/22,PP,-29.9
2018_19,2/19/19,BR,-29.8
2018_19,2/19/19,FR,-29.8
2018_19,2/19/19,LC,-29.8
2018_19,3/11/19,FR,-29.8
2021_22,12/22/21,FR,-29.8
2021_22,12/22/21,FR,-29.8
2021_22,1/19/22,FR,-29.8
2021_22,12/22/21,LC,-29.8
2021_22,12/22/21,LC,-29.8
2018_19,2/19/19,FR,-29.7
2018_19,3/11/19,FR,-29.7
2021_22,12/22/21,BR,-29.7
2018_19,2/19/19,MQ,-29.6
2018_19,3/11/19,FR,-29.6
2018_19,3/11/19,PP,-29.6
2019_20,2/13/20,FR,-29.6
2021_22,1/19/22,BR,-29.6
2021_22,1/19/22,BR,-29.6
2021_22,12/22/21,FR,-29.6
2021_22,1/19/22,FR,-29.6
2021_22,1/19/22,MQ,-29.6
2018_19,2/19/19,LC,-29.5
2021_22,12/22/21,BR,-29.5
2021_22,2/15/22,BR,-29.5
2021_22,1/19/22,BR,-29.5
2021_22,12/22/21,FR,-29.5
2021_22,12/22/21,LC,-29.5
2021_22,1/19/22,MQ,-29.5
2021_22,1/19/22,PP,-29.5
2021_22,1/19/22,PP,-29.5
2018_19,1/16/19,FR,-29.4
2018_19,2/19/19,FR,-29.4
2018_19,2/19/19,FR,-29.4
2018_19,2/19/19,FR,-29.4
2018_19,3/11/19,FR,-29.4
2018_19,3/11/19,LC,-29.4
2021_22,1/19/22,MQ,-29.4
2018_19,2/19/19,LC,-29.3
2018_19,3/11/19,BR,-29.3
2021_22,1/19/22,FR,-29.3
2021_22,11/23/21,LC,-29.3
2021_22,12/22/21,MQ,-29.3
2021_22,12/22/21,PP,-29.3
2021_22,2/15/22,PP,-29.3
2018_19,12/19/18,MQ,-29.2
2018_19,2/19/19,PP,-29.2
2018_19,3/11/19,LC,-29.2
2018_19,3/11/19,PP,-29.2
2019_20,12/18/19,FR,-29.2
2021_22,12/22/21,LC,-29.2
2021_22,2/15/22,MQ,-29.2
2018_19,2/19/19,LC,-29.1
2018_19,2/19/19,MQ,-29.1
2018_19,2/19/19,PP,-29.1
2019_20,1/29/20,FR,-29.1
2021_22,2/15/22,BR,-29.1
2021_22,1/19/22,BR,-29.1
2021_22,12/22/21,FR,-29.1
2021_22,12/22/21,LC,-29.1
2021_22,11/23/21,MQ,-29.1
2021_22,12/22/21,MQ,-29.1
2021_22,1/19/22,MQ,-29.1
2018_19,1/4/19,BR,-29
2018_19,2/5/19,LC,-29
2018_19,2/5/19,MQ,-29
2018_19,2/19/19,BR,-29
2018_19,2/19/19,FR,-29
2018_19,2/19/19,PP,-29
2019_20,12/18/19,FR,-29
2019_20,12/18/19,LC,-29
2021_22,12/22/21,FR,-29
2021_22,11/23/21,LC,-29
2021_22,12/22/21,LC,-29
2021_22,12/22/21,LC,-29
2021_22,1/19/22,LC,-29
2021_22,12/22/21,MQ,-29
2021_22,1/19/22,MQ,-29
2021_22,12/22/21,PP,-29
2018_19,1/16/19,FR,-28.9
2018_19,2/5/19,LC,-28.9
2018_19,2/5/19,MQ,-28.9
2018_19,2/19/19,FR,-28.9
2018_19,2/19/19,MQ,-28.9
2018_19,3/11/19,MQ,-28.9
2018_19,3/11/19,PP,-28.9
2019_20,1/29/20,FR,-28.9
2019_20,2/13/20,BR,-28.9
2019_20,2/13/20,BR,-28.9
2021_22,12/22/21,FR,-28.9
2021_22,12/22/21,LC,-28.9
2021_22,2/15/22,MQ,-28.9
2021_22,2/15/22,PP,-28.9
2021_22,1/19/22,PP,-28.9
2021_22,1/19/22,PP,-28.9
2018_19,12/19/18,FR,-28.8
2018_19,2/5/19,MQ,-28.8
2018_19,2/19/19,LC,-28.8
2018_19,3/11/19,BR,-28.8
2018_19,3/11/19,FR,-28.8
2018_19,3/11/19,LC,-28.8
2019_20,12/18/19,BR,-28.8
2019_20,12/18/19,LC,-28.8
2019_20,1/16/20,BR,-28.8
2019_20,1/16/20,FR,-28.8
2019_20,1/29/20,LC,-28.8
2021_22,12/22/21,BR,-28.8
2021_22,1/19/22,BR,-28.8
2021_22,1/19/22,LC,-28.8
2021_22,1/19/22,MQ,-28.8
2021_22,12/22/21,PP,-28.8
2018_19,1/16/19,FR,-28.7
2018_19,2/5/19,LC,-28.7
2018_19,2/5/19,MQ,-28.7
2018_19,2/19/19,MQ,-28.7
2018_19,2/19/19,PP,-28.7
2019_20,12/18/19,LC,-28.7
2019_20,1/16/20,BR,-28.7
2019_20,2/13/20,BR,-28.7
2021_22,12/22/21,BR,-28.7
2021_22,2/15/22,BR,-28.7
2021_22,11/23/21,FR,-28.7
2021_22,11/23/21,FR,-28.7
2021_22,12/22/21,FR,-28.7
2021_22,11/23/21,LC,-28.7
2021_22,1/19/22,LC,-28.7
2021_22,12/22/21,MQ,-28.7
2021_22,12/22/21,MQ,-28.7
2021_22,1/19/22,MQ,-28.7
2018_19,12/19/18,BR,-28.6
2018_19,12/19/18,BR,-28.6
2018_19,1/16/19,MQ,-28.6
2018_19,2/5/19,FR,-28.6
