Year,Trt,Start.date,day
2018_19,constant,10/11/18,0
2018_19,constant,10/19/18,8
2018_19,constant,10/26/18,15
2018_19,constant,10/31/18,20
2018_19,constant,11/4/18,24
2018_19,constant,11/12/18,32
2018_19,constant,11/29/18,49
2018_19,constant,12/17/18,67
2018_19,field,10/11/18,0
2018_19,field,10/23/18,12
2018_19,field,11/5/18,25
2018_19,field,11/24/18,44
2018_19,field,12/14/18,64
2018_19,field,1/8/19,89
2018_19,field,3/29/19,169
2018_19,field,4/8/19,179
2019_20,constant,10/15/19,7
2019_20,constant,10/23/19,15
2019_20,constant,11/1/19,24
2019_20,constant,11/9/19,32
2019_20,constant,11/17/19,40
2019_20,constant,11/27/19,50
2019_20,constant,12/5/19,58
2019_20,constant,12/12/19,65
2019_20,constant,12/20/19,73
2019_20,field,10/8/19,0
2019_20,field,10/15/19,7
2019_20,field,10/23/19,15
2019_20,field,11/18/19,41
2019_20,field,12/4/19,57
2019_20,field,12/26/19,79
2019_20,field,1/10/20,94
2019_20,field,1/28/20,112
2019_20,field,2/26/20,141
2019_20,field,3/4/20,148
2019_20,field,3/24/20,168
2019_20,fluctuating,10/15/19,7
2019_20,fluctuating,10/23/19,15
2019_20,fluctuating,11/1/19,24
2019_20,fluctuating,11/9/19,32
2019_20,fluctuating,11/17/19,40
2019_20,fluctuating,11/27/19,50
2019_20,fluctuating,10/28/19,20
2019_20,fluctuating,11/4/19,27
2019_20,fluctuating,11/14/19,37
2019_20,fluctuating,11/25/19,48
2019_20,fluctuating,12/4/19,57
2021_22,constant,10/13/21,0
2021_22,constant,10/26/21,13
2021_22,constant,11/9/21,27
2021_22,constant,11/23/21,41
2021_22,constant,12/7/21,55
2021_22,constant,12/22/21,70
2021_22,constant,1/19/22,98
2021_22,field,10/13/21,0
2021_22,field,10/26/21,13
2021_22,field,11/9/21,27
2021_22,field,11/23/21,41
2021_22,field,12/7/21,55
2021_22,field,12/22/21,70
2021_22,field,1/19/22,98
2021_22,field,2/15/22,125
2021_22,field,3/9/22,147
2021_22,fluctuating,10/13/21,0
2021_22,fluctuating,10/26/21,13
2021_22,fluctuating,11/9/21,27
2021_22,fluctuating,11/23/21,41
2021_22,fluctuating,12/7/21,55
2021_22,fluctuating,12/22/21,70
2021_22,fluctuating,1/19/22,98
